Wall time,Step,Value
1648431428.1269245,0,0.4780219793319702
1648431431.8001745,1,0.5467032790184021
1648431435.7171376,2,0.5851648449897766
1648431439.4484673,3,0.6208791136741638
1648431443.3941932,4,0.6620879173278809
1648431447.192843,5,0.6703296899795532
1648431451.2395165,6,0.6730769276618958
1648431455.3196287,7,0.6758241653442383
1648431458.9945629,8,0.7005494236946106
1648431462.8301013,9,0.6868131756782532
1648431466.2837775,10,0.7252747416496277
1648431470.093961,11,0.7197802066802979
1648431473.721938,12,0.6758241653442383
1648431477.180431,13,0.7417582273483276
1648431481.027977,14,0.7335164546966553
1648431484.7317843,15,0.7609890103340149
1648431488.6105301,16,0.791208803653717
1648431492.4375255,17,0.7472527623176575
1648431495.8200185,18,0.7829670310020447
1648431499.409155,19,0.7719780206680298
1648431503.1158,20,0.7472527623176575
1648431506.6255395,21,0.7884615659713745
1648431510.1474853,22,0.7664835453033447
1648431513.636709,23,0.7829670310020447
1648431517.0482345,24,0.7829670310020447
1648431520.5305989,25,0.7747252583503723
1648431523.9180615,26,0.7774725556373596
1648431527.4103765,27,0.791208803653717
1648431531.1290913,28,0.7774725556373596
1648431534.5993278,29,0.8021978139877319
